Ax,Ay,Az,Gx,Gy,Gz,Label
-0.005,0.026,1.017,0.507,-2.336,1.234,IDLE
-0.004,0.026,1.017,0.56,-2.31,1.225,IDLE
-0.005,0.025,1.018,0.472,-2.328,1.242,IDLE
-0.005,0.026,1.018,0.543,-2.319,1.251,IDLE
-0.005,0.026,1.017,0.49,-2.301,1.242,IDLE
-0.003,0.025,1.016,0.507,-2.328,1.295,IDLE
-0.005,0.025,1.018,0.516,-2.284,1.278,IDLE
-0.005,0.025,1.016,0.534,-2.319,1.242,IDLE
-0.003,0.026,1.018,0.499,-2.345,1.278,IDLE
-0.004,0.026,1.018,0.534,-2.345,1.269,IDLE
-0.005,0.026,1.019,0.481,-2.319,1.295,IDLE
-0.004,0.026,1.018,0.507,-2.328,1.278,IDLE
-0.004,0.025,1.016,0.525,-2.328,1.269,IDLE
-0.005,0.026,1.019,0.577,-2.345,1.242,IDLE
-0.005,0.025,1.016,0.438,-2.328,1.26,IDLE
-0.005,0.025,1.017,0.525,-2.293,1.242,IDLE
-0.005,0.025,1.021,0.516,-2.345,1.251,IDLE
-0.005,0.025,1.018,0.525,-2.293,1.269,IDLE
-0.005,0.025,1.017,0.481,-2.319,1.278,IDLE
-0.004,0.026,1.018,0.481,-2.328,1.286,IDLE
-0.005,0.026,1.018,0.507,-2.345,1.199,IDLE
-0.006,0.026,1.018,0.543,-2.301,1.278,IDLE
-0.005,0.026,1.017,0.507,-2.301,1.251,IDLE
-0.005,0.025,1.019,0.516,-2.301,1.251,IDLE
-0.005,0.026,1.017,0.507,-2.336,1.278,IDLE
-0.005,0.025,1.017,0.551,-2.319,1.234,IDLE
-0.005,0.025,1.018,0.525,-2.362,1.269,IDLE
-0.005,0.025,1.018,0.551,-2.336,1.286,IDLE
-0.003,0.025,1.016,0.551,-2.31,1.251,IDLE
-0.005,0.026,1.019,0.543,-2.336,1.295,IDLE
-0.004,0.026,1.018,0.507,-2.301,1.304,IDLE
-0.006,0.024,1.018,0.621,-2.319,1.321,IDLE
-0.005,0.027,1.018,0.586,-2.319,1.312,IDLE
-0.004,0.027,1.018,0.455,-2.362,1.242,IDLE
-0.003,0.026,1.018,0.49,-2.31,1.269,IDLE
-0.006,0.025,1.018,0.472,-2.31,1.234,IDLE
-0.004,0.025,1.016,0.507,-2.31,1.295,IDLE
-0.004,0.026,1.021,0.525,-2.336,1.321,IDLE
-0.004,0.026,1.021,0.569,-2.336,1.278,IDLE
-0.006,0.026,1.02,0.472,-2.319,1.251,IDLE
-0.005,0.025,1.016,0.56,-2.301,1.278,IDLE
-0.004,0.025,1.018,0.534,-2.31,1.286,IDLE
-0.004,0.026,1.015,0.551,-2.345,1.278,IDLE
-0.005,0.025,1.022,0.551,-2.319,1.242,IDLE
-0.005,0.026,1.017,0.464,-2.345,1.242,IDLE
-0.005,0.026,1.02,0.569,-2.319,1.269,IDLE
-0.003,0.026,1.017,0.577,-2.284,1.242,IDLE
-0.006,0.026,1.018,0.569,-2.328,1.242,IDLE
-0.003,0.026,1.019,0.56,-2.31,1.251,IDLE
-0.004,0.026,1.017,0.507,-2.301,1.278,IDLE
-0.005,0.025,1.017,0.481,-2.319,1.295,IDLE
-0.003,0.025,1.017,0.543,-2.31,1.251,IDLE
-0.005,0.026,1.018,0.525,-2.328,1.278,IDLE
-0.004,0.025,1.017,0.569,-2.336,1.269,IDLE
-0.005,0.025,1.017,0.472,-2.293,1.26,IDLE
-0.005,0.025,1.017,0.516,-2.319,1.304,IDLE
-0.005,0.025,1.018,0.551,-2.336,1.286,IDLE
-0.005,0.025,1.018,0.577,-2.31,1.278,IDLE
-0.005,0.025,1.015,0.543,-2.301,1.234,IDLE
-0.005,0.025,1.019,0.56,-2.319,1.295,IDLE
-0.004,0.026,1.018,0.56,-2.354,1.278,IDLE
-0.005,0.026,1.019,0.525,-2.301,1.295,IDLE
-0.005,0.025,1.017,0.49,-2.301,1.278,IDLE
-0.004,0.025,1.017,0.534,-2.328,1.251,IDLE
-0.004,0.026,1.018,0.534,-2.301,1.286,IDLE
-0.004,0.025,1.017,0.534,-2.328,1.295,IDLE
-0.004,0.026,1.018,0.49,-2.328,1.251,IDLE
-0.004,0.025,1.016,0.481,-2.319,1.242,IDLE
-0.006,0.026,1.017,0.525,-2.336,1.251,IDLE
-0.004,0.025,1.017,0.516,-2.31,1.26,IDLE
-0.004,0.026,1.018,0.507,-2.301,1.26,IDLE
-0.006,0.026,1.019,0.516,-2.336,1.26,IDLE
-0.005,0.025,1.017,0.516,-2.336,1.242,IDLE
-0.005,0.025,1.017,0.507,-2.319,1.242,IDLE
-0.004,0.026,1.018,0.525,-2.362,1.251,IDLE
-0.005,0.026,1.017,0.525,-2.319,1.234,IDLE
-0.005,0.026,1.019,0.525,-2.345,1.286,IDLE
-0.005,0.025,1.017,0.516,-2.345,1.216,IDLE
-0.005,0.025,1.017,0.56,-2.345,1.251,IDLE
-0.005,0.026,1.019,0.56,-2.354,1.234,IDLE
-0.005,0.026,1.017,0.543,-2.319,1.269,IDLE
-0.005,0.025,1.017,0.499,-2.31,1.242,IDLE
-0.004,0.025,1.018,0.525,-2.31,1.234,IDLE
